track_id	genre_top	genres	genres_all	path_relative	genre_id	split
124481	Pop	[76]	[10, 76]	/124481.mp3	5	train
124877	Instrumental	[18]	[18, 1235]	/124877.mp3	3	val
124461	Rock	[31, 90]	[12, 45, 53, 90, 31]	/124461.mp3	6	val
124424	Folk	[103]	[17, 103]	/124424.mp3	1	train
124183	Instrumental	[18]	[18, 1235]	/124183.mp3	3	test
124186	Rock	[31]	[12, 31]	/124186.mp3	6	train
124477	Pop	[76]	[10, 76]	/124477.mp3	5	val
124176	Instrumental	[18]	[18, 1235]	/124176.mp3	3	val
124479	Pop	[76]	[10, 76]	/124479.mp3	5	test
124394	Rock	[12, 26, 98]	[26, 12, 98]	/124394.mp3	6	val
124393	Rock	[12, 26, 98]	[26, 12, 98]	/124393.mp3	6	val
124180	Instrumental	[18]	[18, 1235]	/124180.mp3	3	val
124753	Electronic	[183, 337, 468]	[337, 468, 15, 183]	/124753.mp3	0	train
124184	Rock	[31]	[12, 31]	/124184.mp3	6	train
124425	Folk	[103]	[17, 103]	/124425.mp3	1	train
124484	Pop	[76]	[10, 76]	/124484.mp3	5	val
124480	Pop	[76]	[10, 76]	/124480.mp3	5	train
124426	Folk	[103]	[17, 103]	/124426.mp3	1	train
124756	Electronic	[183, 337, 468]	[337, 468, 15, 183]	/124756.mp3	0	train
124874	Instrumental	[18]	[18, 1235]	/124874.mp3	3	val
124485	Pop	[76]	[10, 76]	/124485.mp3	5	train
124555	Electronic	[15, 236, 695]	[695, 236, 15]	/124555.mp3	0	train
124474	Pop	[76]	[10, 76]	/124474.mp3	5	train
124754	Electronic	[183, 337, 468]	[337, 468, 15, 183]	/124754.mp3	0	val
124996	Rock	[89, 109, 404]	[12, 109, 404, 85, 89, 25]	/124996.mp3	6	val
124201	Rock	[25, 85]	[25, 12, 85]	/124201.mp3	6	val
124181	Instrumental	[18]	[18, 1235]	/124181.mp3	3	test
124872	Instrumental	[18]	[18, 1235]	/124872.mp3	3	test
125156	Electronic	[15, 181, 296, 400, 495]	[296, 15, 400, 495, 181, 182]	/125156.mp3	0	test
125825	Instrumental	[18, 1235]	[18, 1235]	/125825.mp3	3	test
125001	Rock	[89, 109, 404]	[12, 109, 404, 85, 89, 25]	/125001.mp3	6	val
125776	Rock	[85, 404]	[404, 12, 85]	/125776.mp3	6	train
125657	Instrumental	[18, 1235]	[18, 1235]	/125657.mp3	3	val
125193	Folk	[17, 103]	[17, 103]	/125193.mp3	1	test
125194	Folk	[17, 103]	[17, 103]	/125194.mp3	1	train
125182	Folk	[17, 103]	[17, 103]	/125182.mp3	1	val
125190	Folk	[17, 103]	[17, 103]	/125190.mp3	1	test
125432	Rock	[12, 85]	[12, 85]	/125432.mp3	6	train
125375	Pop	[76]	[10, 76]	/125375.mp3	5	train
125293	Electronic	[182, 296]	[296, 182, 15]	/125293.mp3	0	val
125815	Instrumental	[18, 1235]	[18, 1235]	/125815.mp3	3	val
125778	Rock	[85, 404]	[404, 12, 85]	/125778.mp3	6	test
125813	Instrumental	[18, 1235]	[18, 1235]	/125813.mp3	3	train
125298	Electronic	[15, 286, 400]	[400, 182, 286, 15]	/125298.mp3	0	train
125622	Instrumental	[18, 1235]	[18, 1235]	/125622.mp3	3	train
125812	Instrumental	[18, 1235]	[18, 1235]	/125812.mp3	3	val
125291	Electronic	[182, 296]	[296, 182, 15]	/125291.mp3	0	val
125814	Instrumental	[18, 1235]	[18, 1235]	/125814.mp3	3	test
125819	Instrumental	[18, 1235]	[18, 1235]	/125819.mp3	3	test
125313	International	[2]	[2]	/125313.mp3	4	test
125618	Instrumental	[18, 1235]	[18, 1235]	/125618.mp3	3	train
125617	Instrumental	[18, 1235]	[18, 1235]	/125617.mp3	3	train
125189	Folk	[17, 103]	[17, 103]	/125189.mp3	1	val
125821	Instrumental	[18, 1235]	[18, 1235]	/125821.mp3	3	val
125621	Instrumental	[18, 1235]	[18, 1235]	/125621.mp3	3	val
125827	Instrumental	[18, 1235]	[18, 1235]	/125827.mp3	3	train
125195	Folk	[17, 103]	[17, 103]	/125195.mp3	1	train
125817	Instrumental	[18, 1235]	[18, 1235]	/125817.mp3	3	train
125286	Electronic	[182, 296]	[296, 182, 15]	/125286.mp3	0	test
125999	Electronic	[15, 181, 296, 400, 495]	[296, 15, 400, 495, 181, 182]	/125999.mp3	0	train
125377	Pop	[76]	[10, 76]	/125377.mp3	5	val
125187	Folk	[17, 103]	[17, 103]	/125187.mp3	1	train
125002	Rock	[89, 109, 404]	[12, 109, 404, 85, 89, 25]	/125002.mp3	6	train
125822	Instrumental	[18, 1235]	[18, 1235]	/125822.mp3	3	val
125818	Instrumental	[18, 1235]	[18, 1235]	/125818.mp3	3	val
125157	Electronic	[15, 181, 296, 400, 495]	[296, 15, 400, 495, 181, 182]	/125157.mp3	0	train
125299	Electronic	[15, 182, 296]	[296, 182, 15]	/125299.mp3	0	test
125314	International	[2]	[2]	/125314.mp3	4	val
125004	Rock	[89, 109, 404]	[12, 109, 404, 85, 89, 25]	/125004.mp3	6	train
125612	Instrumental	[18, 1235]	[18, 1235]	/125612.mp3	3	train
125826	Instrumental	[18, 1235]	[18, 1235]	/125826.mp3	3	val
125722	Pop	[362]	[362, 10]	/125722.mp3	5	val
125779	Rock	[85, 404]	[404, 12, 85]	/125779.mp3	6	train
125183	Folk	[17, 103]	[17, 103]	/125183.mp3	1	train
